Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,Internal Colaboration,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Funded/Not funded,Number of Funders,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
11,6,Cameroon,Central Africa,2017,BMC Complement Altern Med,Phytochemical analysis and in vitro anthelmintic activity of Lophira lanceolata (Ochnaceae) on the bovine parasite Onchocerca ochengi and on drug resistant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,1,0,"University of Ngaoundéré, Cameroon","UN Ngaoundéré, Cameroon",,,,,1,,Germany,,,0,,0,,,,,,,,,,,,,,,,
12,6,Cameroon,Central Africa,2017,Molecules,Anti-Onchocerca and Anti-Caenorhabditis Activity of a Hydro-Alcoholic Extract from the Fruits of Acacia nilotica and Some Proanthocyanidin Derivatives,1,Primary,1,0,USA,1,Rhabditidae,,0,1,0,"University of Ngaoundéré, Cameroon","UN Ngaoundéré, Cameroon",,,,,1,,Germany,,,1,4,3,Cameroonian-German Cooperation Project,CGCP Cameroun,Cameroun,,,,German Academic Exchange Service,GAES,Germany,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
13,6,Cameroon,Central Africa,2011,J Helminthol,In vitro activity of Cameroonian and Ghanaian medicinal plants on parasitic (Onchocerca ochengi) and free-living (Caenorhabditis elegans) nematodes,1,Primary,1,0,USA,0,Rhabditidae,,0,3,1,"Institute of Agricultural Research for Development, Cameroon",IARD Cameroon,"University of Ngaoundéré, Cameroon.","UN Ngaoundéré, Cameroon",University of Maroua,UM,1,Ghana,Germany,,,1,3,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,German Academic Exchange Service (DAAD),GAES DAAD,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
14,6,Cameroon,Central Africa,2014,J Helminthol,Anthelmintic activity of phenolic acids from the axlewood tree Anogeissus leiocarpus on the filarial nematode Onchocerca ochengi and drug-resistant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,2,1,"Institute of Agricultural Research for Development, Cameroon",IARD Cameroon,"University of Ngaoundéré, Cameroon.",,,,1,,Germany,,,1,2,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
15,6,Cameroon,Central Africa,2012,Vet Parasitol,Anogeissus leiocarpus extract on the parasite nematode Onchocerca ochengi and on drug resistant mutant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,2,1,"University of Ngaoundéré, Cameroon",UN Cameroon,"University of Maroua, Cameroun","UM Maroua, Cameroon",,,1,,Germany,,,1,2,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
16,6,Cameroon,Central Africa,2019,Environ Entomol,"Fruit Preference, Parasitism, and Offspring Fitness of Fopius Arisanus (Hymenoptera: Braconidae) Exposed to Bactrocera Dorsalis' (Diptera: Tephritidae) Infested Fruit Species",1,Primary,1,1,,0,Tephritidae,"S. Nanga Nanga,R. Hanna,D. Gnanvossou, A. Fotso Kuate, K. K. M. Fiaboe, and C. Djieto-Lordon",0,3,1,"International Institute of Tropical Agriculture Yaoundé, Cameroon","IITA Yaoundé, Cameroon","University of Yaounde, Yaoundé, Cameroon","UY Yaoundé,Cameroon",,,1,Benin,,,,1,2,3,Federal Ministry for Economic Cooperation and Development Cameroun,FMFECD Cameroun,,,,, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,,,,,,,
17,14,Egypt,North Africa,2018,Environ Sci Pollut Res Int ,"Effects of monoterpenes on mortality, growth, fecundity, and ovarian development of Bactrocera zonata (Saunders) (Diptera: Tephritidae).",1,Primary,1,1,,0,Tephritidae,,1,2,0,"Assiut University Assiut, Egypt","AU Assiut, Egypt","Agricultural Research Center, Giza, Egypt ","ARC Giza, Egypt",,,,,,,,0,,0,,,,,,,,,,,,,,,,
18,14,Egypt,North Africa,2015,J Insect Sci ,Differences in antennal sensillae of male and female peach fruit flies in relation to hosts.,1,Primary,1,1,,0,Tephritidae,,1,2,0,"Assiut University Assiut, Egypt",,"Agricultural Research Center, Giza, Egypt ",,,,,,,,,0,,0,,,,,,,,,,,,,,,,
19,14,Egypt,North Africa,2014,J Insect Sci ,"Ultrastructure of the antennal sensillae of male and female peach fruit fly, Bactrocera zonata.",1,Primary,1,1,,0,Tephritidae,,0,3,0,"Damanhour University Damanhour, Egypt","DU Damanhour, Egypt","Alexandria University, Egypt","UA Alexandria, Egypt","Agriculture Research Center, Giza, Egypt ",ARC Egypt,,,,,,0,,0,,,,,,,,,,,,,,,,
20,14,Egypt,North Africa,2015,Nat Prod Res ,Toxicity of naturally occurring Bio-fly and chitosan compounds to control the Mediterranean fruit fly Ceratitis capitata (Wiedemann).,1,Primary,1,1,,0,Tephritidae,,1,1,0,"Damanhour University Damanhour, Egypt",,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
21,14,Egypt,North Africa,2013,Pak J Biol Sci ,"Assessment effect of gamma radiation on the flight ability of the peach fruit fly, Bactrocera zonata (Saunders).",1,Primary,1,1,,0,Tephritidae,,0,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
22,14,Egypt,North Africa,2013,J Egypt Soc Parasitol ,Genetic variation among Drosophila melanogaster isofemale lines influences encapsulation ability of the parasitoid Asobara tabida.,1,Primary,1,0,Germany,0,Tephritidae,,1,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
23,14,Egypt,North Africa,2012,J Egypt Soc Parasitol ,"Effect of 60 minutes exposure to electromagnetic field on fecundity, learning and memory, speed of movement and whole body protein of the fruit fly Drosophila melanogaster.",1,Primary,1,3,,0,Tephritidae,,0,2,0,"Cairo University Giza, Egypt","CU Giza, Egypt","Fayoum University, Fayoum, Egypt","FU Fayoum, Egypt",,,,,,,,0,,0,,,,,,,,,,,,,,,,
24,14,Egypt,North Africa,2011,J Insect Sci ,"Molecular phylogeny and identification of the peach fruit fly, Bactrocera zonata, established in Egypt.",1,Primary,1,1,,0,Tephritidae,,0,1,0,"Tanta University Tanta, Egypt","TU Tanta, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
25,14,Egypt,North Africa,2003,J Egypt Soc Parasitol ,Mutation in rugose gene locus affects the pigment cell number and alters the optic lobe phenotype in the Drosophila visual system.,0,Primary,1,3,,0,Drosophilidae,,0,4,0,"Ain Shams University Cairo, Egypt ","ASU Cairo, Egypt","Cairo University, Giza, Egypt","CU Giza, Egypt","Ministry of Agriculture, Giza, Egypt  and National Research Centre, Giza, Egypt",MANRC Egypt,,,,,,0,,0,,,,,,,,,,,,,,,,
26,14,Egypt,North Africa,1993,Mutat Res ,The mutagenicity of Gramoxone (paraquat) on different eukaryotic systems.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
27,14,Egypt,North Africa,1970,Evolution ,STUDIES ON NATURAL POPULATIONS OF DROSOPHILA XI. FITNESS COMPONENTS AND COMPETITION BETWEEN DROSOPHILA FUNEBRIS AND D. VIRILIS.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
28,14,Egypt,North Africa,1969,Genetics ,Larval Viability and Genetic Load in DROSOPHILA MELANOGASTER.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
29,14,Egypt,North Africa,1961,Genetics ,The genetic load in the second chromosomes of some populations of Drosophila melanogaster in Egypt.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
30,14,Egypt,North Africa,1959,Genetics ,Selection Limits with Sibmatings in Drosophila Melanogaster.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
31,14,Egypt,North Africa,1957,Genetics ,Heterosis and Genetic Variance in Hybrids between Inbred Lines of Drosophila Melanogaster in Relation to the Level of Homozygosity.,1,Primary,1,1,,0,Drosophilidae,,0,1,0,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
32,14,Egypt,North Africa,1957,Genetics ,Genetic Variance of Random-Inbred Lines of Drosophila Melanogaster in Relation to Coefficients of Inbreeding.,1,Primary,1,1,,0,Drosophilidae,,,,,"University of Alexandria, Egypt","UA Alexandria, Egypt",,,,,,,,,,0,,0,,,,,,,,,,,,,,,,
33,22,Kenya,East Africa,2015,Zookeys,"Comparative analysis of development and survival of two Natal fruit fly Ceratitis rosa Karsch (Diptera, Tephritidae) populations from Kenya and South Africa",1,Primary,1,0,South Africa,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,South Africa,,,,1,2,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,"Citrus Research International, South Africa",CRI ,South africa,,,,
34,22,Kenya,East Africa,2013,Insects,Horizontal Transmission of Metarhizium anisopliae in Fruit Flies and Effect of Fungal Infection on Egg Laying and Fertility,1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,Zimbabwe,,,,1,3,2,,,,,,,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
35,22,Kenya,East Africa,2018,J Agric Food Chem,Cucumber and Tomato Volatiles: Influence on Attraction in the Melon Fly Zeugodacus cucurbitate (Diptera: Tephritidae),1,Primary,1,1,,0,Tephritidae,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,,USA,,,1,5,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (Sida) for a studentship to P.K.N.,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
36,22,Kenya,East Africa,2018,J Agric Food Chem,Identification of Glutamic Acid as a Host Marking Pheromone of the African Fruit Fly Species Ceratitis rosa (Diptera: Tephritidae),1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,Malawi,,,,1,5,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
37,22,Kenya,East Africa,2003,Mycopathologia,"Pathogenicity of Metarhizium anisopliae (Metsch.) Sorokin and Beauveria bassiana (Balsamo) Vuillemin, to three adult fruit fly species: Ceratitis capitata (Weidemann), C. rosa var. fasciventris Karsch and C. cosyra (Walker) (Diptera :Tephritidae)",1,Primary,1,1,,0,Tephritidae,,0,2,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya",,,,,,,,1,4,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,"ICIPE, Kenya","ICIPE, Kenya",,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
38,22,Kenya,East Africa,2012,J Econ Entomol,Evidence for potential of managing some African fruit fly species (Diptera: Tephritidae) using the mango fruit fly host-marking pheromone,1,Primary,1,1,,0,Tephritidae,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,,USA,,,1,1,2,,,,,,,"DAAD, Germany",DAAD,Germany,,,,,,,
39,22,Kenya,East Africa,2017,J Agric Food Chem,Identification of the Ubiquitous Antioxidant Tripeptide Glutathione as a Fruit Fly Semiochemical,1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,,,,,,1,5,3,Kenyan Government,KG Kenya,Kenya,,,,USDA-ARS project no. 58-6615-3-011-F,USDA-ARS,USA,Swedish International Development Cooperation Agency (SIDA) for a studentship to Xavier Cheseto,SIDA,Sweden,UK Department for International Development (DFID),DFID,UK,
40,22,Kenya,East Africa,2017,PLoS One,At Lunch with a Killer: The Effect of Weaver Ants on Host-Parasitoid Interactions on Mango,1,Primary,1,1,,0,Tephritidae,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,Germany,Australia,,1,1,2,,,,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
41,22,Kenya,East Africa,2018,Insects,Spatial Distribution of Bactrocera dorsalis and Thaumatotibia leucotreta in Smallholder Avocado Orchards along Altitudinal Gradient of Taita Hills and Mount Kilimanjaro,1,Primary,1,0,Tanzania,0,Tephritidae,,0,6,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","University of Nairobi, Kenya","UN Nirobi,  Kenya","CABI-Centre for Agriculture and Biosciences International, Africa Regional Centre, P.O. Box 633-621, Nairobi, Kenya",,1,Tanzania,,Finland,,1,1,2,,,,,,,Ministry of Foreign Affairs of Finland ,MFA,Finland,,,,,,,
42,22,Kenya,East Africa,2009,J Econ Entomol,Evidence for competitive displacement of Ceratitis cosyra by the invasive fruit fly Bactrocera invadens (Diptera: Tephritidae) on mango and mechanisms contributing to the displacement,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,,1,2,3,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,GermanMinistry for Economic Cooperation and Development (BMZ),GMECD,Germany,,,,,,,
43,22,Kenya,East Africa,2012,J Econ Entomol,Cold tolerance and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in 'Hass' avocado,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,South Africa,,,,1,2,3,"ICIPE, Kenya",ICIPE Kenya,,,,, South African Avocado Growers' Association,SAAGA,South Africa,,,,,,,
44,22,Kenya,East Africa,2012,PLoS One,"Taxonomic identity of the invasive fruit fly pest, Bactrocera invadens: concordance in morphometry and DNA barcoding",1,Primary,1,1,,0,Tephritidae,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya","Molecular Biology and Biotechnology Department, International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya",MBBD ICIPE Kenya,1,,Belgium,,,1,2,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,the German Ministry of Economic Cooperation and Development (BMZ),GMED,Germany,,,,
45,22,Kenya,East Africa,2008,Bull Entomol Res,Comparison of five allopatric fruit fly parasitoid populations (Psyttalia species) (Hymenoptera: Braconidae) from coffee fields using morphometric and molecular methods,1,Primary,1,1,,1,Tephritidae,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,UK,USA,,1,2,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,,,,Dutch Government (DSO),DSO,Germany,"International Foundation for Science (IFS), Sweden ",IFS,Sweden,,,,
46,22,Kenya,East Africa,2019,Sci Rep,Species-specific transcriptional profiles of the gut and gut microbiome of Ceratitis quilicii and Ceratitis rosa sensu stricto,1,Primary,1,1,,0,Tephritidae,,0,5,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya","Agricultural and Livestock Research Organization, Kenya",ALRO Kenya,"Kenya Medical Research Institute, Kenya",KMRI Kenya,,,Italy,,,1,6,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,Kenyan Government,KG,Kenya,"International Centre of Insect Physiology and Ecology Nairobi, Kenya",ICPE,Kenya,UK Aid (UK Government),UA,KK,Swedish International Development Cooperation Agency,SIDCA,Sweden,
47,22,Kenya,East Africa,2003,J Invertebr Pathol,Effect of soil temperature and moisture on survival and infectivity of Metarhizium anisopliae to four tephritid fruit fly puparia,1,Primary,1,1,,0,Tephritidae,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,,,,,,1,1,1,"IFAD, Kenya",IFAD Kenya,Kenya,,,,,,,,,,,,,
48,22,Kenya,East Africa,2015,Vector Borne Zoonotic Dis,Isolation of Candidatus Rickettsia asemboensis from Ctenocephalides Fleas,1,Primary,1,0,"Drosophila Genomics Resource Center; Bloomington, IN",1,Drosophilidae,,0,2,0,"Kenya Medical Research Institute Kisumu, Kenya",KMRI Kenya,,,,,1,,Maryland,,,1,1,0,,,,,,,,,,,,,,,,
49,22,Kenya,East Africa,2006,Bull Entomol Res,"Contribution of natural food sources to reproductive behaviour, fecundity and longevity of Ceratitis cosyra, C. fasciventris and C. capitata (Diptera: Tephritidae)",1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,Mauritius,,,,1,2,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,,,,,,,
50,22,Kenya,East Africa,2011,J Econ Entomol,Cold susceptibility and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in oranges,1,Primary,1,1,,0,Tephritidae,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,South Africa,,,,1,2,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,,,,,,,,,,,,,
51,22,Kenya,East Africa,2000,Bull Entomol Res,"Parasitoids of medfly, Ceratitis capitata, and related tephritids in Kenyan coffee: a predominantly koinobiont assemblage",1,Primary,1,1,,0,Tephritidae,,0,4,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",,,,,1,,USA,,,1,6,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,Tropical and Subtropical Agriculture Research ,TSTAR,USA,Caribbean Basin Administrative Group,CBAGG,,USDA/NRI,USDA/NRI,USA,
